Radionuclide,Max_Energy_MeV,Emission_Type,Half_Life,Time_Unit,Medical_Purpose,Max_Energy_MeV
Fm-252,97.7707,fission,25.39,h,Non-Medical,97.7707
Fm-254,97.523,fission,3.24,h,Non-Medical,97.523
Fm-255,97.4001,fission,20.07,h,Non-Medical,97.4001
Fm-256,97.2779,fission,157.6,m,Non-Medical,97.2779
Fm-257,97.1563,fission,100.5,d,Non-Medical,97.1563
Es-253,95.776,fission,20.47,d,Non-Medical,95.776
Es-254,95.6549,fission,275.7,d,Non-Medical,95.6549
Es-254m,95.6549,fission,39.3,h,Non-Medical,95.6549
Es-255,95.5345,fission,39.8,d,Non-Medical,95.5345
Cf-246,94.7725,fission,35.7,h,Non-Medical,94.7725
Cf-248,94.5269,fission,334,d,Non-Medical,94.5269
Cf-249,94.4051,fission,351,y,Non-Medical,94.4051
Cf-250,94.2839,fission,13.08,y,Non-Medical,94.2839
Cf-252,94.0435,fission,2.645,y,Non-Medical,94.0435
Cf-254,93.8056,fission,60.5,d,Non-Medical,93.8056
Cm-240,91.8139,fission,27,d,Non-Medical,91.8139
Cm-242,91.5703,fission,162.8,d,Non-Medical,91.5703
Cm-244,91.3294,fission,18.1,y,Non-Medical,91.3294
Cm-245,91.21,fission,8500,y,Non-Medical,91.21
Cm-246,91.0912,fission,4760,y,Non-Medical,91.0912
Cm-248,90.8555,fission,348000,y,Non-Medical,90.8555
Cm-250,90.6223,fission,8300,y,Non-Medical,90.6223
Pu-236,88.6535,fission,2.858,y,Non-Medical,88.6535
Pu-238,88.4147,fission,87.7,y,Non-Medical,88.4147
Pu-240,88.1786,fission,6564,y,Non-Medical,88.1786
Pu-242,87.9451,fission,375000,y,Non-Medical,87.9451
Pu-244,87.7142,fission,80000000,y,Non-Medical,87.7142
U-238,84.8461,fission,4468000000,y,Non-Medical,84.8461
Po-212m,11.6512,alpha,45.1,s,Non-Medical,11.6512
N-16,9,b-spectra,7.13,s,Non-Medical,9
Po-212,8.78508,alpha,2.99E-07,s,Non-Medical,8.78508
Rn-215,8.67445,alpha,2.3,us,Non-Medical,8.67445
Po-213,8.37658,alpha,4.20E-06,s,Medical - Daughter of Ac-225,8.37658
Rn-216,8.04805,alpha,4.50E-05,s,Non-Medical,8.04805
At-215,8.02575,alpha,0.0001,s,Non-Medical,8.02575
Ra-219,7.98927,alpha,10,ms,Non-Medical,7.98927
At-216,7.80013,alpha,0.0003,s,Non-Medical,7.80013
Cu-57,7.748,b-spectra,0.1963,s,Non-Medical,7.748
Rn-217,7.74015,alpha,0.00054,s,Non-Medical,7.74015
Po-214,7.68695,alpha,0.0001643,s,Non-Medical,7.68695
Cl-40,7.48,b-spectra,1.35,m,Non-Medical,7.48
Ra-220,7.45682,alpha,0.0179,s,Non-Medical,7.45682
Po-211,7.45004,alpha,0.516,s,Medical - Daughter of Ra-223,7.45004
Th-223,7.43118,alpha,0.6,s,Non-Medical,7.43118
Po-215,7.38628,alpha,0.001781,s,Medical - Daughter of Ra-223,7.38628
Fr-219,7.31188,alpha,0.02,s,Non-Medical,7.31188
Fm-251,7.30542,alpha,5.3,h,Non-Medical,7.30542
Cf-244,7.20887,alpha,19.4,m,Non-Medical,7.20887
Rh-94,7.17729,b-spectra,70.6,s,Non-Medical,7.17729
Th-224,7.17349,alpha,1.05,s,Non-Medical,7.17349
Rn-218,7.12926,alpha,0.035,s,Non-Medical,7.12926
Fm-253,7.08314,alpha,3,d,Non-Medical,7.08314
At-217,7.06916,alpha,0.0323,s,Medical - Daughter of Ac-225,7.06916
U-227,7.03346,alpha,1.1,m,Non-Medical,7.03346
Br-72,6.99599,b-spectra,78.6,s,Non-Medical,6.99599
Rn-219,6.81915,alpha,3.96,s,Medical - Therapy,6.81915
Es-249,6.77925,alpha,102.2,m,Non-Medical,6.77925
Po-216,6.77842,alpha,0.145,s,Non-Medical,6.77842
Ra-221,6.75932,alpha,28,s,Non-Medical,6.75932
At-218,6.74779,alpha,1.5,s,Non-Medical,6.74779
U-228,6.68456,alpha,9.1,m,Non-Medical,6.68456
Fr-220,6.67697,alpha,27.4,s,Non-Medical,6.67697
Ac-223,6.66135,alpha,2.1,m,Non-Medical,6.66135
Eu-142,6.648,b-spectra,2.34,s,Non-Medical,6.648
Bi-211,6.62304,alpha,2.14,m,Medical - Daughter of Ra-223,6.62304
Pu-232,6.60013,alpha,33.7,m,Non-Medical,6.60013
Rb-90,6.587,b-spectra,158,s,Non-Medical,6.587
Ra-222,6.56054,alpha,38,s,Non-Medical,6.56054
Cm-238,6.50965,alpha,2.4,h,Non-Medical,6.50965
Es-251,6.4918,alpha,33,h,Non-Medical,6.4918
Pa-227,6.46398,alpha,38.3,m,Non-Medical,6.46398
Fr-212,6.40622,alpha,20,m,Non-Medical,6.40622
K-46,6.371,b-spectra,105,s,Non-Medical,6.371
Bk-245,6.34905,alpha,4.94,d,Non-Medical,6.34905
Ho-150,6.347,b-spectra,76.8,s,Non-Medical,6.347
Fr-221,6.34065,alpha,4.9,m,Medical - Therapy,6.34065
Th-226,6.33724,alpha,30.57,m,Non-Medical,6.33724
Cf-247,6.31793,alpha,3.11,h,Non-Medical,6.31793
Rn-220,6.28815,alpha,55.6,s,Non-Medical,6.28815
Rn-212,6.26445,alpha,23.9,m,Non-Medical,6.26445
Rb-78,6.221,b-spectra,17.66,m,Non-Medical,6.221
Cs-140,6.219,b-spectra,63.7,s,Non-Medical,6.219
Ac-224,6.21385,alpha,2.78,h,Non-Medical,6.21385
At-219,6.20842,alpha,56,s,Non-Medical,6.20842
Pu-234,6.20207,alpha,8.8,h,Non-Medical,6.20207
Ga-64,6.1473,b-spectra,2.627,m,Non-Medical,6.1473
Rn-207,6.13023,alpha,9.25,m,Non-Medical,6.13023
Pa-228,6.12525,alpha,22,h,Non-Medical,6.12525
